name,ballots,u,selection_probability,cum_prob,pruett,hall,over,under
p052_mb_131,298,0.03061,0.002317,0.16677,100,119,0,79
p053_mb_130,295,0.026844,0.002032,0.168802,119,102,0,74
p054_mb_124,300,0.029548,0.002236,0.171038,101,107,0,92
p055_mb_125,292,0.032059,0.002426,0.173464,75,115,0,102
p056_mb_127,298,0.025782,0.001951,0.175415,118,87,0,93
p057_mb_123,298,0.029258,0.002214,0.17763,121,126,0,51
p058_mb_079,294,0.030997,0.002346,0.179975,90,117,0,87
p059_mb_122,299,0.032445,0.002455,0.182431,82,119,0,98
p060_mb_223,300,0.029645,0.002243,0.184674,110,117,0,73
p061_mb_498,298,0.035149,0.00266,0.187334,60,126,0,112
p062_mb_135,298,0.028776,0.002178,0.189512,102,102,0,94
p063_mb_216,297,0.032542,0.002463,0.191975,84,124,0,89
p064_mb_217,297,0.033604,0.002543,0.194518,84,135,0,78
p065_mb_218,298,0.03061,0.002317,0.196834,93,112,0,93
p066_mb_219,298,0.029355,0.002222,0.199056,104,110,0,84
p067_mb_134,298,0.029645,0.002243,0.201299,101,110,0,87
p068_mb_039,295,0.032831,0.002485,0.203784,87,132,0,76
p069_mb_484,292,0.031093,0.002353,0.206137,85,115,0,92
p070_mb_493,300,0.034376,0.002602,0.208739,85,141,0,74
p071_mb_224,297,0.032348,0.002448,0.211187,87,125,0,85
p072_mb_226,299,0.031093,0.002353,0.21354,83,106,0,110
p073_mb_228,298,0.029741,0.002251,0.215791,111,121,0,66
p074_mb_231,295,0.029355,0.002222,0.218012,103,112,0,80
p075_mb_232,299,0.034087,0.00258,0.220592,78,132,0,89
p076_mb_233,298,0.030224,0.002287,0.222879,99,114,0,85
p077_mb_181,296,0.032059,0.002426,0.225305,85,121,0,90
p078_mb_182,296,0.030224,0.002287,0.227593,96,113,0,87
p079_mb_183,298,0.030997,0.002346,0.229938,96,119,0,83
p080_mb_186,297,0.029452,0.002229,0.232167,95,103,0,99
p081_mb_184,296,0.03119,0.00236,0.234528,91,118,0,87
p082_mb_185,295,0.031962,0.002419,0.236947,92,128,0,75
p083_ev_492,205,0.02443,0.001849,0.238795,31,79,0,95
p084_ev_500,150,0.014677,0.001111,0.239906,43,45,0,62
p085_ev_510,255,0.027424,0.002075,0.241982,60,89,0,106
p086_ev_257,175,0.01854,0.001403,0.243385,51,68,0,56
p087_mb_179,295,0.026072,0.001973,0.245358,119,94,0,82
p088_mb_110,299,0.034473,0.002609,0.247967,87,145,0,67
p089_mb_057,297,0.027713,0.002097,0.250064,116,106,0,75
p090_mb_111,299,0.032059,0.002426,0.25249,98,131,1,69
p091_mb_112,299,0.03061,0.002317,0.254807,98,116,0,85
p092_mb_113,300,0.031286,0.002368,0.257174,99,123,0,78
p093_mb_117,298,0.031962,0.002419,0.259593,94,127,0,77
p094_mb_187,298,0.030031,0.002273,0.261866,92,105,0,101
p095_mb_225,297,0.031093,0.002353,0.264219,93,118,0,86
p096_mb_227,299,0.026265,0.001988,0.266207,119,92,0,88
p097_mb_229,300,0.027037,0.002046,0.268253,114,94,0,92
p098_mb_230,297,0.032638,0.00247,0.270723,88,129,2,78
p099_mb_116,296,0.032735,0.002477,0.2732,79,122,0,95
p100_mb_175,299,0.027424,0.002075,0.275276,121,106,0,72
p101_mb_115,298,0.03428,0.002594,0.27787,73,130,0,95
p102_mb_056,297,0.032831,0.002485,0.280355,93,136,0,68
p103_mb_055,295,0.03428,0.002594,0.282949,79,139,0,77
p104_mb_054,294,0.030417,0.002302,0.285251,92,113,0,89
p105_mb_041,186,0.022113,0.001673,0.286924,44,87,0,55
p106_mb_178,298,0.031866,0.002412,0.289336,89,121,0,88
p107_mb_177,299,0.029355,0.002222,0.291557,106,111,0,82
p108_mb_180,296,0.030803,0.002331,0.293889,98,121,0,77
p109_mb_118,296,0.032059,0.002426,0.296315,87,123,0,86
p110_mb_120,295,0.032059,0.002426,0.298741,84,121,0,90
p111_mb_176,295,0.031672,0.002397,0.301138,88,121,0,86
p112_mb_114,297,0.030707,0.002324,0.303462,103,124,0,70
p113_mb_474,296,0.034956,0.002645,0.306107,67,133,0,96
p114_mb_502,300,0.031576,0.00239,0.308497,97,124,0,79
p115_mb_475,300,0.030997,0.002346,0.310843,87,108,0,105
p116_mb_242,296,0.032638,0.00247,0.313313,69,111,0,116
p117_mb_241,297,0.029162,0.002207,0.315519,113,118,0,66
p118_mb_240,291,0.027424,0.002075,0.317595,105,98,1,87
p119_mb_239,295,0.030321,0.002295,0.31989,89,108,0,98
p120_mb_238,295,0.030127,0.00228,0.32217,97,114,0,84
p121_mb_237,296,0.03119,0.00236,0.32453,79,106,0,111
p122_mb_235,296,0.032059,0.002426,0.326956,94,130,0,72
p123_mb_234,294,0.033121,0.002507,0.329463,66,115,0,113
p124_mb_196,294,0.031479,0.002382,0.331845,80,112,0,102
p125_mb_062,297,0.033797,0.002558,0.334403,81,134,0,82
p126_mb_061,298,0.032542,0.002463,0.336865,93,132,0,73
p127_mb_059,299,0.034569,0.002616,0.339482,75,134,0,90
p128_mb_042,296,0.032928,0.002492,0.341974,89,134,0,73
p129_mb_191,295,0.032445,0.002455,0.344429,72,113,0,110
p130_mb_192,295,0.029258,0.002214,0.346643,93,101,0,101
p131_mb_193,299,0.03119,0.00236,0.349004,97,121,0,81
p132_mb_189,299,0.029162,0.002207,0.351211,104,107,0,88
p133_mb_188,297,0.028776,0.002178,0.353388,111,112,0,74
p134_mb_195,296,0.032252,0.002441,0.355829,82,120,0,94
p135_mb_058,292,0.02752,0.002083,0.357912,113,106,0,73
p136_mb_194,296,0.029258,0.002214,0.360126,103,110,0,83
p137_mb_190,295,0.028196,0.002134,0.36226,108,105,0,82
p138_mb_060,292,0.031286,0.002368,0.364628,91,123,0,78
p139_mb_490,295,0.029452,0.002229,0.366856,93,103,0,99
p140_mb_491,297,0.030417,0.002302,0.369158,87,105,0,105
p141_mb_249,298,0.031769,0.002404,0.371563,90,121,0,87
p142_mb_246,293,0.032348,0.002448,0.374011,77,119,0,97
p143_mb_245,295,0.029162,0.002207,0.376218,100,107,0,88
p144_mb_244,297,0.032348,0.002448,0.378666,91,129,0,77
p145_mb_165,297,0.030707,0.002324,0.38099,98,119,0,80
p146_mb_087,295,0.031962,0.002419,0.383408,90,126,0,79
p147_mb_166,298,0.031962,0.002419,0.385827,87,120,0,91
p148_mb_167,297,0.028679,0.00217,0.387998,104,104,0,89
p149_mb_168,297,0.029065,0.0022,0.390197,110,114,0,73
p150_mb_169,295,0.028003,0.002119,0.392317,116,111,0,68
p151_mb_170,294,0.029838,0.002258,0.394575,101,116,0,77
